	Control1	Control2	Control3	Control4	Control5	Control6	Control7	Control8	Control9	WB-2312090003	WH-2401230003	JM-2402070001	AY-2402230001	RP-2403190005	MW-2403190010	CM-2403190012	HF-2403200009	LS-2403210007	VG-2403270009	JH-2403270011	GT-2403270013	JP-2404030013	MB-2404030014	RO-2404040005	MD-2404240003	CD-2405010006	NC-2406110009	SC-2501240001	ES-2501240011	AM-2502190008	CD-2502260006	MW-2503010003	HB-2503080013	DS-2504260005	SP-2505030001	RW-2504190007	AY-2505100001	MD-2505140007	WB-2505240010	CI-2505310003	JD-2505310009	RA-2506040002	CM-2506190001	MC-2506190003	MA-2506250016	NB-2506280003	KS-2506280009	GT-2509040001	EC-2509040003	RF-2509060008	HF-2509100003	RO-2509150003	PW-2509150011	SC-2509220001
A1CF	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
GGACT	3	5	1	1	1	4	2	0	2	1	0	0	0	0	3	0	1	5	1	0	2	0	1	0	1	1	2	0	2	0	1	2	5	1	0	0	0	1	2	0	0	1	0	2	1	0	2	1	1	0	1	0	3	0
A2ML1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	1	0	0	0	0	8	0	2	0	3	1	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
A4GNT	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AADAC	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
AADACL2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AADACL3	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AADACL4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AANAT	2	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	2	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	1	0	0	0	0	0	1	0	1	0	0	0	0	0	1	0	0	0	1	1
PTGES3L-AARSD1	0	0	0	0	0	1	0	0	0	2	1	0	0	0	0	1	0	0	2	0	0	1	0	0	1	0	0	1	0	0	0	0	0	0	0	0	1	0	1	0	1	0	0	0	0	0	1	2	0	0	2	1	0	0
ABCA13	4	1	3	4	3	6	2	7	4	19	2	8	2	10	14	4	9	24	1	12	6	1	0	5	4	9	3	2	3	4	1	1	2	8	0	5	0	9	5	3	3	5	1	9	2	2	2	4	3	4	4	5	4	6
ABCA4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ABCC12	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	2	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
ABCG4	0	1	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	2	1	1	0	5	0	0	0	1	1	0	4	0	1	0	0	0	1	0	1	2	0	1	1	0	0	0
ABCG5	0	0	1	1	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ABHD16B	58	53	34	63	77	43	37	26	36	52	23	40	32	46	48	39	70	89	60	61	80	15	20	41	56	32	41	45	47	26	37	50	42	30	38	40	27	45	75	30	26	45	39	38	51	31	66	30	22	39	41	27	29	35
ACBD7	4	3	0	4	4	2	2	2	6	1	0	3	0	0	4	4	2	3	1	2	1	0	2	5	1	2	3	6	3	2	0	8	1	4	5	1	5	10	4	3	3	5	4	2	4	4	2	0	4	2	2	3	2	1
ASIC2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASIC1	1	0	0	1	3	2	0	2	2	1	1	1	0	0	0	0	1	3	1	0	0	1	1	0	0	0	0	0	1	0	0	3	0	0	0	0	0	3	4	1	0	0	0	0	3	1	0	0	1	0	0	0	1	0
ASIC5	0	1	0	0	0	0	0	1	0	1	0	0	0	0	0	1	0	0	0	0	1	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	2	2	1	1
ACCSL	3	3	3	1	3	6	5	7	2	4	2	3	3	5	1	4	7	9	8	15	18	1	2	2	7	8	10	11	6	5	12	9	9	8	20	4	10	2	4	8	11	7	13	5	8	9	6	16	4	5	2	10	1	5
ACER1	4	7	3	9	3	3	7	3	1	2	2	2	2	0	5	2	2	6	2	1	7	1	5	6	2	5	0	6	9	7	4	4	3	2	12	4	5	9	7	5	8	4	1	2	3	1	5	11	4	8	4	2	4	2
ACHE	8	13	5	30	10	4	8	6	3	5	3	15	8	19	14	19	25	3	2	12	71	0	7	18	9	39	76	11	2	9	16	9	7	5	7	17	6	3	8	0	9	4	9	20	9	1	5	9	1	2	4	4	3	13
ACMSD	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ACOT12	1	2	0	0	0	0	0	2	0	0	0	0	0	0	0	1	0	2	0	1	0	0	0	0	0	1	1	1	0	0	0	1	2	0	2	1	0	1	2	0	1	1	0	0	0	0	0	0	0	4	0	0	1	0
ACOT6	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
ACOXL	0	0	0	1	1	0	1	1	0	4	1	1	1	1	4	0	0	0	0	0	0	0	0	1	0	1	1	0	1	0	2	1	0	0	2	0	2	0	4	0	0	0	2	0	2	2	0	0	0	0	0	2	1	2
ACR	0	1	2	0	18	1	0	0	24	1	0	1	1	0	0	0	0	0	19	2	0	3	0	14	4	0	16	6	12	0	0	10	2	6	8	5	0	8	2	5	8	3	0	5	0	0	0	1	9	4	1	11	5	5
ACRV1	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
ACSBG2	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	1	0	0	0
ACSM2A	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ACSM2B	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ACSM4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ACTA1	3	0	4	0	1	1	1	0	1	0	0	0	2	0	0	0	0	0	0	1	0	0	0	0	0	4	0	1	0	0	0	1	0	0	2	0	0	1	2	0	0	0	0	0	1	1	0	0	0	0	0	0	1	0
ACTBL2	4	3	0	1	1	1	0	5	0	7	0	1	0	0	1	0	1	0	4	3	0	0	1	0	1	1	0	6	2	3	2	11	1	0	0	0	2	5	1	0	4	0	0	0	2	0	2	5	1	3	3	1	1	1
ACTL10	13	4	13	1	6	5	3	7	4	9	2	4	3	6	2	7	2	8	4	0	6	1	2	3	5	2	6	3	5	2	2	7	2	4	4	7	2	3	6	7	3	6	5	3	4	5	2	5	1	6	3	2	3	3
ACTL6B	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
ACTL7A	6	3	2	7	3	10	2	3	6	6	3	3	2	1	0	0	7	3	0	2	0	1	0	4	0	3	4	10	4	2	0	16	1	0	4	1	4	4	8	0	3	6	3	2	1	5	7	2	1	4	1	1	1	0
ACTL7B	0	0	0	1	0	2	0	0	0	0	0	0	0	0	0	0	0	0	2	0	2	0	0	0	2	0	0	2	0	0	0	2	0	0	1	0	0	0	2	0	1	0	0	0	1	0	1	1	1	0	0	0	0	0
ACTL8	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ACTL9	3	1	2	1	3	7	0	1	1	1	1	1	1	2	1	0	1	1	3	0	0	0	0	1	0	1	1	3	6	2	0	9	0	3	3	1	0	1	6	1	2	2	0	0	3	0	2	5	2	2	1	0	0	0
ACTN3	2	3	0	1	2	5	3	2	3	2	0	0	0	0	1	1	2	3	1	0	2	0	1	0	2	0	0	6	2	2	0	1	0	0	1	4	2	3	2	1	1	2	0	0	2	1	1	2	0	4	1	1	1	0
ACTR3BP2	17	4	5	5	12	10	8	11	23	10	10	4	10	2	2	1	4	1	3	5	8	3	5	6	7	5	0	62	15	24	1	118	12	13	19	26	31	9	59	11	57	18	0	6	46	24	43	41	22	22	19	4	3	1
ACTRT1	3	5	1	1	2	2	0	2	3	3	0	0	4	0	0	0	1	0	2	0	1	2	0	0	0	1	0	12	7	1	3	12	0	1	5	5	2	3	16	4	14	4	0	0	6	1	5	5	3	5	1	1	3	0
ACTRT2	0	3	3	4	0	2	1	2	3	0	0	0	1	1	1	0	1	0	1	0	0	0	0	2	0	1	0	3	2	5	0	5	0	0	0	1	0	0	4	0	0	2	0	0	0	0	1	3	4	1	0	0	0	0
ACY3	2	1	1	0	0	1	2	3	3	0	0	2	0	1	1	0	4	1	1	1	1	1	0	0	0	0	2	0	0	0	0	0	1	0	1	1	2	2	5	1	0	1	0	0	1	1	0	1	0	0	1	0	0	0
ADAD1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	1
ADAD2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ADAM1A	84	85	51	84	83	97	55	94	102	67	29	56	35	45	55	58	72	146	70	8	23	12	23	60	42	45	37	68	83	29	65	76	47	49	60	42	41	83	114	83	57	62	45	49	72	47	74	50	33	86	34	48	57	40
ADAM11	1	2	3	2	1	0	0	1	1	0	0	1	0	0	2	2	1	4	3	0	0	1	2	1	3	1	0	5	0	1	1	3	0	0	0	1	0	1	4	2	1	1	1	1	2	0	2	1	0	4	2	2	0	0
ADAM18	1	2	0	1	1	1	1	2	0	0	0	2	0	0	0	0	1	0	0	1	1	0	0	0	0	0	0	3	0	2	0	9	2	2	2	3	2	2	4	2	1	2	0	0	3	2	1	2	0	1	0	0	0	0
ADAM2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ADAM20	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ADAM21	1	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	2	0	0	0	0	0	1	0	1	0	0	0	1	0	0	0
ADAM21P1	1	2	1	1	3	0	0	1	3	4	1	3	0	0	0	1	3	2	2	0	0	1	2	0	0	0	0	7	4	5	0	13	2	1	0	1	2	2	15	0	4	4	1	2	3	2	4	3	2	1	2	0	0	0
ADAM30	2	1	2	2	2	3	0	4	1	1	0	2	1	1	0	1	0	1	0	1	2	0	1	0	0	0	0	5	0	2	0	14	0	0	3	2	1	3	7	1	2	1	0	0	0	2	2	5	2	1	3	0	1	0
ADAM6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ADAM7	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ADAMDEC1	7	2	1	4	3	0	3	3	1	6	1	3	2	1	3	2	6	3	1	1	2	1	1	4	2	2	7	4	5	1	4	2	4	4	2	4	2	5	5	1	2	4	3	3	0	0	2	2	1	4	3	4	1	6
ADAMTS13	3	1	2	2	0	0	2	0	0	1	0	0	0	1	5	0	1	0	1	0	3	0	0	2	0	1	2	1	2	0	1	0	1	0	1	1	3	0	2	2	1	0	1	0	1	2	2	1	1	0	1	1	4	0
ADAMTS14	0	0	2	0	2	0	0	0	0	1	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	1	1	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0
ADAMTS16	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ADAMTS17	11	10	4	3	5	12	11	3	8	6	1	6	2	7	10	1	3	11	6	3	5	1	4	4	6	0	5	8	18	3	7	5	2	1	9	10	2	8	15	7	10	5	5	3	6	0	5	6	2	4	5	5	10	4
ADAMTS20	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ADAMTS8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	1	0	0	0	0	0	0	0
ADAMTSL2	2	0	1	0	1	1	0	0	2	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	1	0	0	0	1	1	0	4	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1
ADARB2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
ADAT3	3	1	2	0	5	0	2	1	1	3	1	1	0	3	2	2	1	5	4	2	1	0	0	1	4	0	3	1	0	3	1	1	1	1	1	2	2	2	1	1	0	0	1	0	2	1	1	0	0	1	1	0	0	0
ADCY10	7	5	5	1	4	2	2	3	8	6	1	4	4	0	1	2	7	5	1	9	5	0	2	8	4	6	6	3	3	5	6	3	3	7	10	8	5	6	10	4	4	1	2	4	5	3	1	4	5	5	2	8	5	2
ADCY8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ADCYAP1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ADH7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
ADIG	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0
ADIPOQ	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
