gene	cluster	weight
DCN	fibroblast	11.907594680786133
C3	fibroblast	11.816164016723633
MMP2	fibroblast	11.566450119018555
FBLN1	fibroblast	11.524175643920898
SCARA5	fibroblast	11.45928955078125
MGST1	fibroblast	11.425863265991211
FBLN2	fibroblast	11.024748802185059
SERPINF1	fibroblast	10.9284029006958
MFAP5	fibroblast	10.898909568786621
FSTL1	fibroblast	10.869415283203125
EFEMP1	fibroblast	10.78093433380127
FBN1	fibroblast	10.725879669189453
SFRP2	fibroblast	10.700318336486816
OLFML3	fibroblast	10.688520431518555
PLA2G2A	fibroblast	10.648212432861328
PTPRS	fibroblast	10.584309577941895
ABCA8	fibroblast	10.505660057067871
COL6A3	fibroblast	10.471250534057617
CCDC80	fibroblast	10.405381202697754
CFD	fibroblast	10.35425853729248
LRP1	fibroblast	10.276592254638672
C1S	fibroblast	10.19007682800293
VIT	fibroblast	10.165498733520508
SLIT2	fibroblast	10.121258735656738
LUM	fibroblast	9.961992263793945
CRISPLD2	fibroblast	9.909887313842773
SPOCK1	fibroblast	9.852866172790527
C1R	fibroblast	9.830253601074219
APOD	fibroblast	9.786996841430664
SVEP1	fibroblast	9.725059509277344
TSHZ2	fibroblast	9.614950180053711
PRELP	fibroblast	9.587422370910645
PDGFRA	fibroblast	9.57169246673584
COL6A1	fibroblast	9.483211517333984
ADH1B	fibroblast	9.443885803222656
BICC1	fibroblast	9.398662567138672
LAMA2	fibroblast	9.38686466217041
UAP1	fibroblast	9.377034187316895
VCAN	fibroblast	9.37211799621582
PODN	fibroblast	9.347539901733398
ABI3BP	fibroblast	9.28265380859375
CYBRD1	fibroblast	9.278721809387207
COL6A2	fibroblast	9.235464096069336
GAS1	fibroblast	9.205970764160156
GPX3	fibroblast	9.143050193786621
MGP	fibroblast	9.121421813964844
DCLK1	fibroblast	9.104708671569824
PDGFRL	fibroblast	9.063417434692383
MFAP4	fibroblast	8.944458961486816
FBLN5	fibroblast	8.824518203735352
OGN	fibroblast	8.818619728088379
DDR2	fibroblast	8.740952491760254
ADH1C	fibroblast	8.690813064575195
PCOLCE2	fibroblast	8.618062019348145
SRPX	fibroblast	8.60233211517334
PI16	fibroblast	8.5689058303833
CLU	fibroblast	8.564973831176758
GSN	fibroblast	8.561040878295898
ADH1A	fibroblast	8.549243927001953
ABCA6	fibroblast	8.54137897491455
NID1	fibroblast	8.504019737243652
NNMT	fibroblast	8.455846786499023
TGFBR3	fibroblast	8.450931549072266
IGFBP6	fibroblast	8.443066596984863
CD248	fibroblast	8.40865707397461
TNXB	fibroblast	8.386045455932617
F3	fibroblast	8.367365837097168
COL1A2	fibroblast	8.347702980041504
AOX1	fibroblast	8.334922790527344
IGF2	fibroblast	8.299530029296875
SERPING1	fibroblast	8.261188507080078
TNXA	fibroblast	8.241525650024414
NFIA	fibroblast	8.13436508178711
PCOLCE	fibroblast	8.130433082580566
EMP1	fibroblast	8.07144546508789
HSPB6	fibroblast	8.048833847045898
NUPR1	fibroblast	8.01344108581543
ABCA9	fibroblast	7.9623188972473145
CTSK	fibroblast	7.902348518371582
RDH10	fibroblast	7.833529472351074
MPZL1	fibroblast	7.830580234527588
PID1	fibroblast	7.7843732833862305
WNT5A	fibroblast	7.7076897621154785
ADD3	fibroblast	7.697858810424805
AKR1C1	fibroblast	7.652635097503662
FGFR1	fibroblast	7.632972240447998
NOX4	fibroblast	7.562187671661377
IGF1	fibroblast	7.475672721862793
USP53	fibroblast	7.457976341247559
IGFBP5	fibroblast	7.4294657707214355
CLDN11	fibroblast	7.352782249450684
PROCR	fibroblast	7.308541774749756
CXCL14	fibroblast	7.294777870178223
CYP4B1	fibroblast	7.273149013519287
COL12A1	fibroblast	7.259385585784912
NEGR1	fibroblast	7.259385585784912
TIMP2	fibroblast	7.223010063171387
MXRA8	fibroblast	7.207279682159424
MEDAG	fibroblast	7.2043304443359375
SLPI	fibroblast	7.191549777984619
PECAM1	endothelial cell	8.848572731018066
AQP1	endothelial cell	8.74157428741455
VWF	endothelial cell	8.67563247680664
CD74	endothelial cell	7.679048538208008
S1PR1	endothelial cell	7.606886386871338
PLVAP	endothelial cell	7.594444751739502
IFI27	endothelial cell	7.53721284866333
GNG11	endothelial cell	7.487445831298828
CD34	endothelial cell	7.452608585357666
A2M	endothelial cell	7.372981548309326
HLA-DRA	endothelial cell	7.221192359924316
EPAS1	endothelial cell	7.180134296417236
SPARCL1	endothelial cell	7.1154375076293945
