	CD4-positive, alpha-beta T cell	CD8-positive, alpha-beta T cell	capillary endothelial cell	endothelial cell	endothelial cell of artery	fibroblast	macrophage	mast cell	natural killer cell	neutrophil	pericyte	smooth muscle cell	vein endothelial cell
A1BG	0.015394	0	0	0	0	0.00293138	0	0	0.0421137	0	0	0	0
A2M	0.278311	0.116206	4.46263	3.74992	4.54856	0.439414	0.36129	0.158928	0	0	3.60607	2.88319	4.39351
A2M-AS1	0.000159919	0	0.0158039	0.0444047	0.0300281	0.0375699	0.00532936	0	0	0	0.012342	0.0409043	0.0199946
A2MP1	0.00499843	0.0620078	0.00282097	0.0372955	0	0	0	0.046828	0	0	0.000141046	7.14492e-05	0
A4GALT	0	0	0.0180338	0.0431833	0.0527543	0.044095	0	0	0	0	0.0902165	0	0
AAAS	0	0	0.233728	0.106215	0.0184961	0.18066	0.128835	0	0	0	0.111658	0.222334	0
AACS	0.0764489	0	0	0	0	0.0676564	0.000399812	0.371593	0	0	0.079728	0	0
AADAT	0	0	0	0	0	0.0494825	0	0	0	0	0.0594966	0	0
AAGAB	0.066297	0.332409	0.0239134	0.143323	0	0.0685445	0.0295028	0	0	0	0.0490448	0.0571698	0.012727
AAK1	0.683104	0.387468	0.691528	0.0850621	0.139774	0.0553313	0.344209	0.0313616	0.829228	1.89449	0.0961989	0.113948	0
AAMDC	0	0	0.29287	0.302758	0.307752	0.314996	0.000224043	0	0	0	0.261117	0.0043148	0
AAMP	0	0.247747	0.453849	0.249866	0	0.536611	0.0455473	0	0	0	0.668485	0.315894	0
AAR2	0.0772885	0	0	0.117854	0	0.180021	0.0312009	0	0	0	0.274648	0.116221	0
AARS2	0.000138705	0	0	0	0	0.0264993	0.146613	0.00482262	0	0	0.0290605	0	0
AASDH	0	0.0982301	0	0.19531	0	0.0841808	0.0959342	0	0	0	0.0862708	0.166351	0
AASDHPPT	0	0	0.3564	0.0988521	0	0.072839	0.00294048	0	0	0	0.101683	0.105328	0
AASS	0	0.000129993	1.08992	0.34725	0.664684	0.285982	0.0114946	0.0312783	0	0	0.308425	0.260353	0.670176
AATF	0.00282929	0	0.468957	0.125521	0	0.149651	0.169757	0.624438	0.65262	0	0.129618	0	0
AATK	0	0.000364921	0	0.0234106	0.0422405	0.000148004	0.000150783	0	0	0	0	0	0.000919893
ABAT	0.00102517	0	0	0	0	0.0431535	0.00381944	0	0	0	0	0	0
ABCA1	0.0589999	0	1.53174	0.235589	0.0115704	0.743601	0.198739	1.32115	0	0	0.657776	0.19493	0.806972
ABCA10	0	0	0	7.2426e-05	0	0.374891	0	0.000440465	0	0	4.01211e-05	0.000169621	0
ABCA11P	0	0	0.170131	0	0	0.0117457	0	0	0	0	0.0164995	0	0
ABCA12	0	0.000183095	0	0	0	7.82413e-05	0.000140537	0	0	0	0	0	0
ABCA17P	0.00142203	0.000200722	0	0	0	0.0193718	0	0	0	0	0	0	0
ABCA2	0.120315	0.122445	0	0	0	0.0311061	0.000401278	0	0.0936032	0	0	0.0314847	0
ABCA3	0.163371	0.0767997	0	0.00317446	0	0.0266908	0.0810836	0.000204338	0	0	0.00176636	0	0
ABCA5	0.048733	0.222707	0	0.0911169	0	0.153802	0.000146931	0	0.0660676	0	0.30601	0.129585	0
ABCA6	0	0.000364921	0	0	0	0.792755	0.0201749	0	0.000945777	0	8.56389e-05	0	0
ABCA7	0.120358	0.0723331	0	0	0	0	0.000600001	0.000389651	0	0	0	0	0
ABCA8	0.000130352	0	0	3.8449e-05	0	1.65391	0	0.000204338	0	0	0.128187	0	0
ABCA9	0	0	0	0.000648307	0	0.331241	0.00977964	0	0	0	4.88424e-05	0	0
ABCB1	0.0122003	0.00550115	0.880524	0.196883	0.85319	0.000134816	0.00527084	0	0.600175	0	0	0	0.193387
ABCB10	0	0.103098	0	0.053481	0.0294521	0.0618921	0.163347	0	0	0	0	0.105242	0.768436
ABCB11	9.39588e-05	0	0	0	0	0.0629522	0.000201283	0	0	0	0	0	0
ABCB4	0.000127963	0	0.00762134	0.0309254	0.000452523	0.000292018	0.0743516	0	0	0	0	0.000169621	0
ABCB5	0	0.00119789	0	0.00767394	0	0.0273095	0	0	0	0	0	0	0
ABCB6	0	0	0.171768	0	0	0.0522818	0	0	0	0	0.0351485	0.0359839	0.112312
ABCB7	0.0665235	0.0641314	0.387189	0.231767	0.744433	0.141988	0.0252549	0.739182	0	0	0.178611	0.0366788	0
ABCB8	0.0243814	0.116809	0	0.0623463	0.23974	0.0500045	0.0667869	0	0	0	0	0	0
ABCB9	0.0387134	0.000185361	0	0	0.289825	0.00404683	0	0	0	0	0.0117156	0	0
ABCC1	0.11861	0.124995	0	0.0887029	0.392779	0.195301	0.0277933	0.0858699	0.891221	0	0.0250237	0.110695	0
ABCC10	0	0.00911908	0	0	0	0.000884505	0.0820449	0	0	0	0.00520762	0.080077	0
ABCC11	0.00207204	0	0	0	0	2.26896e-05	0	0	0	0	0.000778262	0.000446849	0
ABCC13	0	0.000200722	0	0.000377398	0	0	0.0241079	0	0	0	0	5.67179e-05	0
ABCC2	0	0.0114727	0	0.0104833	0	0.24333	0	0.0640603	0	0.187865	0	0.0232287	0
ABCC3	0	0	0	0.00277913	0	0.0638838	0.0916173	0	0	0	0.0128267	0.0282193	0
ABCC4	0	0	0.170974	0.00158217	0.0542295	0	0	0	0	0	0	0	0.00369007
ABCC5	0	0.0995176	0.000472377	0.0332731	0	0.150683	0.191395	0.000204338	0	0	0.00583194	0	0
ABCC6	0	0	0	8.6655e-05	0	7.99928e-05	0.00512796	0	0	0	0	0	0
ABCC8	0	0	0	5.89248e-05	0	0.0145726	0.0133146	0.000465439	0	0	0	0	0
ABCC9	0.00139486	0.000227816	0	0.000624883	0	0.390346	0.000209969	0	0.000945777	0	0.273501	0.00784632	0.000925074
ABCD1	0	0	0.120458	0	0	0.0111603	0.00746479	0	0	0	0	0.0291603	0
ABCD2	0	0.0376699	0	4.00529e-05	0	0.00875884	0	0	0	0	0	0	0
ABCD3	0	0.047539	0	8.00498e-05	0.000452523	0.10636	0.0238499	0	0	0	0.0999877	0.0235885	0.634518
ABCD4	0.114755	0.235398	0.591065	0.268067	0.739539	0.21325	0.139393	0.352702	0	0	0.11068	0	2.09951
ABCE1	0.000185217	0	0.000446706	0.0652987	0	0.140193	0.0861211	0.348642	0.00112935	0	0.0284913	0.0604365	0
ABCF1	0.331284	0.0410437	0	0.240617	0.0129932	0.26461	0.156845	0.33866	0	0	0.335428	0.518499	0.614335
ABCF2	0.065834	0	0.270853	0.0494899	0	0.19323	0	0	0	0	0.116882	0.118307	0
ABCF3	0.0337959	0	0	0.0930251	0	0.161282	0.00478516	0	0	0	0.0691688	0	0.550614
ABCG1	0.110432	0.102009	0.193982	0.271582	0	0.0489857	0.0654453	0.0111047	0	0.179275	4.01211e-05	7.75087e-05	0
ABCG2	0	0	0.346746	0.228344	0	0	0	0	0	0	0	0	0.835243
ABCG8	0	0.000200722	0	0	0	0.000280357	0.00127327	0	0	0	0	0	0
ABHD1	0	0	0	0.0148935	0	0.0125979	0	0	0.000945777	0	0.0379638	0	0
ABHD10	0	0.12146	0	0.0486972	0.0222531	0.0244816	0	0	0	0	0.0551017	0	0
ABHD11	0.0920062	0	0	0.0372318	0	0.0786773	0.000399812	0	0	0	0.0961685	0.093753	0
ABHD12	0.00147633	0.132804	0	0.0585038	0	0.133738	0.256121	0	0	0	0.0842813	0.000568755	0
ABHD12B	0	0	0	0	0	0.00846154	0.0170143	0	0	0	0	0	0
ABHD13	0.0730956	0	0	0.0365761	0	0.17401	0.0974213	0	0	0	0	0	0
ABHD14A	0	0.0555879	0	0.10762	0	0.156132	0	0	0.268748	0	0.082662	0	0.365205
ABHD14B	0.000273945	0.264434	0	0.029745	0	0.431627	0.0498815	0	0	0	0.120729	0.121957	0.15205
ABHD15	0.0804988	0.00625939	0	0	0	0.124609	0.0804062	0	0	0	3.53344e-05	0.0313605	0
ABHD16A	0	0.00112501	0.0355666	0.00511611	0.000696626	0.013786	0.0181183	0.00340451	0	0	0.0160591	0.0323639	0.115416
ABHD2	0	0.344344	0.000472377	0.0575027	0.32424	0.0485874	0.209105	0.454125	0	0	0.0204471	0.262387	0
ABHD3	0.297094	0.314206	0	0.0386104	0	0.138132	0.0904491	0	0	0	0.0334427	0.108826	0
ABHD4	0.000163418	0	0.405745	0.134475	0.659035	0.247431	0.00468901	0.31592	0	0	0.297525	0.265842	0
ABHD5	0.237494	0.000209	0.481972	0.191827	0	0.211485	0.227098	0.000204338	0	0.702848	0.198095	0.176462	0.00643986
ABHD6	0	0.0170805	0	0.0907594	0	0.0230599	0.0357255	0	0	0	0.127687	0	0
ABHD8	0	0	0	0	0.0282164	0.00234155	0.136873	0	0	0	0.0348902	0	0
ABI1	0.437054	0.210073	0.503219	0.192413	0.00894452	0.179896	0.129421	0.396346	0	0	0.181313	0.222172	1.10508
ABI2	0.000273945	0.0890715	0.36223	0.189641	0.327986	0.112185	0.0189883	0	0	0	0.121803	0.317785	0.008273
ABI3	0.082068	0.0999565	0.479809	0.336135	0	0.0272151	0.191702	0	0.533811	0	0	0	1.24142
ABI3BP	0	0	0	0.0228544	0.726548	1.68656	0.00622411	0.00423088	0	0	0.0224006	0.0922394	0
ABL1	0.0409831	0.0842965	0	0.0982657	0	0.210527	0.0666579	0.000245037	0	0	0.0844833	0.0205996	0
ABL2	0.136985	0.0723481	0.25476	0.0610927	0.272935	0.169841	0.568407	0.288747	0.111635	0	0.0793821	0.264602	0
ABLIM1	0.145035	0.201849	1.36589	0.630799	0.749026	0.850474	0	0	0.0223795	0	0	0	0.0798128
ABLIM2	0	0.0955788	0	0.018108	0	0	0	0	0	0	0.123699	0	0
ABLIM3	0	0	0.653305	0.102408	0.444561	0.0200602	0.13351	0	0	0	0	0.116664	0
ABO	0	0	0.29703	0.219721	0	0.0159732	0.000630022	0	0	0	0.0242621	0	0
ABR	0	0.17422	0.0133134	0.247513	0.36044	0.156626	0.1164	0.166269	0.230735	0	0.0822712	0.385692	0
ABRA	0	0.000185361	0	0.0104017	0	0	0	0	0	0	0.147752	0	0
ABRACL	0.460055	0.483731	0	0.0835745	0.303573	0.0404056	0.16297	0.237931	0	0	0	0	0.556965
