sample	residual_norm
Control1	1510.0373801102
Control2	1631.31176004975
Control3	1502.3491962476
Control4	1600.10034859853
Control5	1793.67846709855
Control6	1939.02108363539
Control7	2274.51643153133
Control8	2066.03654987425
Control9	2655.58134026025
WB-2312090003	2665.46177133443
WH-2401230003	2939.42823209067
JM-2402070001	1563.9397604002
AY-2402230001	2160.49232328593
RP-2403190005	1779.96747563838
MW-2403190010	2251.96326988438
CM-2403190012	2299.30043032378
HF-2403200009	1349.36170123143
LS-2403210007	2587.72127622437
VG-2403270009	1420.37731716935
JH-2403270011	5170.76959005621
GT-2403270013	2231.26013469679
JP-2404030013	2116.03408631504
MB-2404030014	1461.19012784677
RO-2404040005	3153.03998546146
MD-2404240003	1861.13262940663
CD-2405010006	3278.85156986215
NC-2406110009	2461.88234361414
SC-2501240001	2303.45476201101
ES-2501240011	2150.08990199967
AM-2502190008	1796.76165722288
CD-2502260006	1638.56829936595
MW-2503010003	2704.07212470445
HB-2503080013	1771.40658619438
DS-2504260005	1771.08495137819
SP-2505030001	1537.36780185555
RW-2504190007	1720.7788883892
AY-2505100001	1636.73336680442
MD-2505140007	1802.53695478333
WB-2505240010	1403.98416551494
CI-2505310003	1773.0239940211
JD-2505310009	1981.028146002
RA-2506040002	2080.17299620894
CM-2506190001	1204.56395467861
MC-2506190003	1838.52335494856
MA-2506250016	1508.72824405877
NB-2506280003	1707.11259146332
KS-2506280009	2251.14286482901
GT-2509040001	1658.65370291355
EC-2509040003	2430.99292192957
RF-2509060008	2164.44192244738
HF-2509100003	1548.37245101224
RO-2509150003	2599.32560067511
PW-2509150011	2020.1018096733
SC-2509220001	2074.79466729514
