	capillary.endothelial.cell	CD4.positive..alpha.beta.T.cell	CD8.positive..alpha.beta.T.cell	endothelial.cell	endothelial.cell.of.artery	fibroblast	macrophage	mast.cell	natural.killer.cell	neutrophil	pericyte	smooth.muscle.cell	vein.endothelial.cell
Control1	0.0	0.171023265378842	0.20167918400848	0.046894297046341	0.0	0.0	0.401347594197615	0.0	0.0570289086515225	0.0930927018682903	0.0	0.0289340488489085	0.0
Control2	0.0	0.198917655273099	0.186927246434648	0.0612530385906368	0.0	0.0	0.384871244012742	0.0	0.0522430585157821	0.0900814872919457	0.0	0.0257062698811459	0.0
Control3	0.0	0.20963115035269	0.185877170432731	0.0723802258939053	0.0	0.0	0.367840572841351	0.0	0.045654571869394	0.0816141812977844	0.0	0.0370021273121434	0.0
Control4	0.0	0.179042002464004	0.191177034807832	0.0577402523357129	0.0	0.0	0.403640152331757	0.0	0.050013294775687	0.08653082783807	0.0	0.0318564354469366	0.0
Control5	0.0	0.241904351476747	0.183771306818653	0.0614434095005842	0.0	0.0	0.354018662807152	0.0	0.0561559089220422	0.0731403979614741	0.0	0.0295659625133477	0.0
Control6	0.0	0.174827784856401	0.214198266804325	0.0576346784916398	0.0	0.0	0.378274413913525	0.0	0.0553586328795931	0.078997638473893	0.0	0.0407085845806229	0.0
Control7	0.0	0.208505004433502	0.21951786167307	0.0383917226363643	0.0	0.0	0.373619045595898	0.0	0.0550797489937698	0.0474609042955063	0.0	0.0574257123718891	0.0
Control8	0.0	0.24900783538091	0.188734528376731	0.0741276844223562	0.0	0.0	0.344371277728334	0.0	0.0315120281057227	0.0743948038953985	0.0	0.0378518420905474	0.0
Control9	0.0	0.297772089885734	0.187336096846585	0.0665630004770189	0.0	0.0	0.326766791996306	0.0	0.0389934936174371	0.0500704300057418	0.0	0.0324980971711764	0.0
WB-2312090003	0.0	0.0935558077874027	0.266493840602925	0.105041074003384	0.0	0.0	0.38742467643727	0.0	0.0418731264815654	0.105611474687453	0.0	0.0	0.0
WH-2401230003	0.0	0.0403481223066958	0.239636416600589	0.0380369054156165	0.0	0.0	0.459574180908088	0.0043635088237625	0.0592607862948406	0.129599252730673	0.0	0.0229779947958101	0.0062028321239243
JM-2402070001	0.0	0.18547419042419	0.196924604014397	0.0139748148899902	0.0	0.0	0.414344270387208	0.004698781611492	0.0528611996490269	0.074891685955267	0.0	0.0568304530684296	0.0
AY-2402230001	0.0	0.111545056165441	0.221361226703036	0.0	0.0	0.0	0.462160866218509	0.0181560781697841	0.0444978209107119	0.0601559017040301	0.0	0.0821230501284876	0.0
RP-2403190005	0.0	0.148700541807877	0.185623441155781	0.0293362725038071	0.0	0.0	0.464434635993598	0.0	0.0493297346183928	0.0777212213747886	0.0	0.0448541525457557	0.0
MW-2403190010	0.0	0.0373709802104816	0.225716289957246	0.0374457170790815	0.0	0.0	0.460636968721461	0.0	0.0740865051927963	0.123279186672596	0.0	0.0414643521663377	0.0
CM-2403190012	0.0	0.0	0.204435930072793	0.0	0.0	0.0	0.523996204994411	0.0414862490877809	0.0753890134342622	0.103264033039801	0.0	0.0514285693709513	0.0
HF-2403200009	0.0	0.108654856124733	0.168831402368359	0.037650326657234	0.0	0.0	0.466725627343288	0.025864532505433	0.0450973802081913	0.0920389127743751	0.0	0.0551369620183862	0.0
