sample	gene	predicted_signal	dominant_ct	dominant_share
Control1	MALAT1	3617.56798836931	macrophage	0.303
Control1	B2M	3021.85724908026	macrophage	0.333
Control1	ACTB	2960.36024116726	macrophage	0.323
Control1	TMSB4X	2811.99665818248	macrophage	0.392
Control1	FTL	2600.57348687744	macrophage	0.53
Control1	FOS	2222.84725014427	macrophage	0.357
Control1	HLA-B	2185.27119564218	macrophage	0.373
Control1	IGF2R	2180.94354081602	macrophage	0.406
Control1	NFKBIA	2033.54862801227	macrophage	0.319
Control1	EEF1A1	2009.12741790365	macrophage	0.314
Control1	SAT1	1994.82024055205	macrophage	0.441
Control1	NEAT1	1983.2411448433	macrophage	0.462
Control1	TPT1	1855.33378571282	macrophage	0.394
Control1	HSP90AA1	1848.77711789502	macrophage	0.476
Control1	DUSP1	1829.41099791876	macrophage	0.299
Control1	PFN1	1828.89424302732	macrophage	0.318
Control1	RPS19	1738.17333184532	macrophage	0.319
Control1	KLF6	1701.41998339297	macrophage	0.338
Control1	RPL13A	1694.47992559351	CD8.positive..alpha.beta.T.cell	0.312
Control1	FTH1	1693.02057933613	macrophage	0.52
Control1	PTMA	1686.38229847564	macrophage	0.337
Control1	RPS18	1681.77704922335	macrophage	0.305
Control1	RPS27	1651.45775065655	CD8.positive..alpha.beta.T.cell	0.314
Control1	TMSB10	1645.7804677093	macrophage	0.45
Control1	RPS14	1570.82272541253	macrophage	0.331
Control1	RPLP1	1559.20268433799	macrophage	0.328
Control1	CFL1	1551.50810177291	macrophage	0.34
Control1	ARHGDIB	1540.54246106815	macrophage	0.314
Control1	TSC22D3	1502.89761736833	CD4.positive..alpha.beta.T.cell	0.274
Control1	NAMPT	1500.97362538286	neutrophil	0.476
Control1	RPS6	1498.00730149785	CD4.positive..alpha.beta.T.cell	0.307
Control1	RPL21	1471.1883219327	macrophage	0.331
Control1	SRGN	1456.43482655276	neutrophil	0.341
Control1	CCL4	1446.79654235454	CD8.positive..alpha.beta.T.cell	0.425
Control1	RPL10	1441.29346200265	macrophage	0.391
Control1	RPL7	1430.68634410136	CD8.positive..alpha.beta.T.cell	0.297
Control1	RPL13	1426.48453367788	macrophage	0.394
Control1	RPL18A	1398.99181678571	macrophage	0.355
Control1	ACTG1	1374.85234250318	macrophage	0.372
Control1	RPL23A	1363.67875208611	macrophage	0.318
Control2	MALAT1	3630.23957274913	macrophage	0.29
Control2	B2M	3042.60817781566	macrophage	0.317
Control2	ACTB	2931.59815847178	macrophage	0.312
Control2	TMSB4X	2821.32362575282	macrophage	0.375
Control2	FTL	2571.21570112641	macrophage	0.514
Control2	FOS	2232.01765236675	macrophage	0.341
Control2	HLA-B	2162.57288486788	macrophage	0.361
Control2	IGF2R	2148.15247249845	macrophage	0.396
Control2	EEF1A1	2045.50091692043	CD4.positive..alpha.beta.T.cell	0.316
Control2	NFKBIA	2021.58167810092	macrophage	0.308
Control2	SAT1	1976.03282522898	macrophage	0.427
Control2	NEAT1	1950.0752354913	macrophage	0.451
Control2	TPT1	1858.27414495982	macrophage	0.377
Control2	DUSP1	1845.04383960729	macrophage	0.285
Control2	HSP90AA1	1836.51139518831	macrophage	0.459
Control2	PFN1	1814.94906077149	macrophage	0.308
Control2	RPS19	1772.65996208193	CD4.positive..alpha.beta.T.cell	0.323
Control2	RPL13A	1725.83369755702	CD4.positive..alpha.beta.T.cell	0.322
Control2	RPS18	1719.08923819079	CD4.positive..alpha.beta.T.cell	0.322
Control2	PTMA	1699.975397837	macrophage	0.32
Control2	KLF6	1696.99362620565	macrophage	0.325
Control2	RPS27	1687.65286451944	CD4.positive..alpha.beta.T.cell	0.352
Control2	FTH1	1678.16683387673	macrophage	0.503
Control2	TMSB10	1645.42411106375	macrophage	0.432
Control2	RPS14	1597.01397135643	macrophage	0.313
Control2	RPLP1	1581.00787003464	macrophage	0.311
Control2	RPS6	1535.35420142755	CD4.positive..alpha.beta.T.cell	0.349
Control2	ARHGDIB	1532.58098742844	macrophage	0.303
Control2	CFL1	1531.46874675498	macrophage	0.33
Control2	TSC22D3	1521.17134430776	CD4.positive..alpha.beta.T.cell	0.315
Control2	RPL21	1497.42608252903	CD4.positive..alpha.beta.T.cell	0.318
Control2	NAMPT	1471.15644345305	neutrophil	0.47
Control2	RPL10	1466.05879152607	macrophage	0.369
Control2	RPL7	1462.46654836259	CD4.positive..alpha.beta.T.cell	0.334
Control2	RPL13	1458.38818966601	macrophage	0.37
Control2	SRGN	1436.8908445412	neutrophil	0.335
Control2	CCL4	1428.60311352525	CD8.positive..alpha.beta.T.cell	0.399
Control2	RPL18A	1421.91393796752	macrophage	0.335
Control2	RPL23A	1392.50307924317	CD4.positive..alpha.beta.T.cell	0.336
Control2	RPS3A	1364.33517901261	macrophage	0.309
Control3	MALAT1	3604.08146670624	macrophage	0.279
Control3	B2M	3049.82002842683	macrophage	0.302
Control3	ACTB	2883.67778798016	macrophage	0.304
Control3	TMSB4X	2834.83215721013	macrophage	0.357
Control3	FTL	2543.12199338307	macrophage	0.497
Control3	FOS	2201.95883344508	macrophage	0.331
Control3	HLA-B	2106.48340009587	macrophage	0.354
Control3	EEF1A1	2080.85179778477	CD4.positive..alpha.beta.T.cell	0.327
Control3	IGF2R	2067.64928162724	macrophage	0.393
Control3	NFKBIA	1961.26831806252	macrophage	0.303
Control3	SAT1	1916.53753991372	macrophage	0.421
Control3	NEAT1	1884.19490082022	macrophage	0.446
Control3	DUSP1	1837.64924416153	CD4.positive..alpha.beta.T.cell	0.287
Control3	TPT1	1837.19244880717	macrophage	0.365
Control3	HSP90AA1	1829.12336681678	macrophage	0.441
Control3	PFN1	1814.42234897954	macrophage	0.294
Control3	RPS19	1797.00790084713	CD4.positive..alpha.beta.T.cell	0.336
Control3	RPL13A	1753.4916480544	CD4.positive..alpha.beta.T.cell	0.334
Control3	RPS18	1745.81267748575	CD4.positive..alpha.beta.T.cell	0.334
Control3	PTMA	1726.42771118322	macrophage	0.301
Control3	RPS27	1720.23529116085	CD4.positive..alpha.beta.T.cell	0.364
Control3	KLF6	1683.52580591492	macrophage	0.313
Control3	FTH1	1675.29576653275	macrophage	0.481
Control3	TMSB10	1648.57992041146	macrophage	0.412
Control3	RPS14	1623.03854099148	CD4.positive..alpha.beta.T.cell	0.317
Control3	RPLP1	1608.98158024098	CD4.positive..alpha.beta.T.cell	0.3
Control3	RPS6	1565.12592102418	CD4.positive..alpha.beta.T.cell	0.36
Control3	TSC22D3	1522.7639710914	CD4.positive..alpha.beta.T.cell	0.332
Control3	RPL21	1518.33135581827	CD4.positive..alpha.beta.T.cell	0.331
Control3	ARHGDIB	1513.02586928441	macrophage	0.293
Control3	CFL1	1507.73754165667	macrophage	0.321
Control3	RPL7	1491.19560318635	CD4.positive..alpha.beta.T.cell	0.345
Control3	RPL10	1482.48624684046	macrophage	0.348
Control3	RPL13	1476.91946663132	macrophage	0.349
Control3	RPL18A	1439.86909743114	macrophage	0.316
Control3	RPL23A	1416.59093626976	CD4.positive..alpha.beta.T.cell	0.348
Control3	CCL4	1412.3897870163	CD8.positive..alpha.beta.T.cell	0.401
Control3	NAMPT	1398.97963413927	neutrophil	0.448
Control3	SRGN	1382.39405781154	neutrophil	0.315
Control3	RPS3A	1381.99695334301	CD4.positive..alpha.beta.T.cell	0.311
Control4	MALAT1	3588.16035778719	macrophage	0.308
Control4	B2M	3015.45535200711	macrophage	0.335
Control4	ACTB	2915.27146192782	macrophage	0.33
Control4	TMSB4X	2815.48388025677	macrophage	0.394
Control4	FTL	2598.73435575014	macrophage	0.534
Control4	FOS	2207.43637741935	macrophage	0.362
Control4	HLA-B	2149.93213409652	macrophage	0.381
Control4	IGF2R	2139.46997772814	macrophage	0.417
Control4	EEF1A1	2022.12607142522	macrophage	0.314
Control4	NFKBIA	1993.90937824228	macrophage	0.327
Control4	SAT1	1968.44821683382	macrophage	0.45
Control4	NEAT1	1954.54364548151	macrophage	0.471
Control4	HSP90AA1	1847.73632919614	macrophage	0.479
Control4	TPT1	1846.07955799932	macrophage	0.398
Control4	DUSP1	1816.90859350047	macrophage	0.303
Control4	PFN1	1811.34227816592	macrophage	0.323
Control4	RPS19	1748.21536508723	macrophage	0.319
Control4	RPL13A	1701.20511802283	CD8.positive..alpha.beta.T.cell	0.295
Control4	FTH1	1698.05688827013	macrophage	0.521
Control4	PTMA	1693.89325121858	macrophage	0.337
Control4	RPS18	1693.10086728291	macrophage	0.304
Control4	KLF6	1683.93128103196	macrophage	0.344
Control4	RPS27	1657.32486523968	CD4.positive..alpha.beta.T.cell	0.323
Control4	TMSB10	1651.25226111776	macrophage	0.451
Control4	RPS14	1581.64104567897	macrophage	0.331
Control4	RPLP1	1569.63593377503	macrophage	0.328
Control4	CFL1	1528.58171458112	macrophage	0.347
Control4	ARHGDIB	1518.03529460462	macrophage	0.321
Control4	RPS6	1505.69717010886	CD4.positive..alpha.beta.T.cell	0.32
Control4	TSC22D3	1492.1571930314	CD4.positive..alpha.beta.T.cell	0.289
Control4	RPL21	1479.57674064329	macrophage	0.331
Control4	NAMPT	1463.72369153908	neutrophil	0.454
Control4	RPL10	1453.84550125768	macrophage	0.39
Control4	RPL13	1442.72113108331	macrophage	0.392
Control4	RPL7	1439.20528190767	CD4.positive..alpha.beta.T.cell	0.306
Control4	SRGN	1417.59125471735	neutrophil	0.326
Control4	CCL4	1410.42004085708	CD8.positive..alpha.beta.T.cell	0.413
Control4	RPL18A	1408.53824247426	macrophage	0.355
Control4	RPL23A	1374.23281572162	macrophage	0.318
Control4	ACTG1	1365.37190705891	macrophage	0.377
Control5	MALAT1	3613.63218089701	CD4.positive..alpha.beta.T.cell	0.275
Control5	B2M	3111.82925521635	CD4.positive..alpha.beta.T.cell	0.31
Control5	TMSB4X	2890.66632880675	macrophage	0.337
Control5	ACTB	2856.2455176798	macrophage	0.295
Control5	FTL	2527.07575371922	macrophage	0.481
Control5	FOS	2192.80609805303	macrophage	0.319
Control5	EEF1A1	2145.98553022432	CD4.positive..alpha.beta.T.cell	0.366
Control5	HLA-B	2092.328524802	macrophage	0.343
Control5	IGF2R	1993.48930066102	macrophage	0.392
Control5	NFKBIA	1938.78850613503	macrophage	0.295
Control5	SAT1	1885.29636771257	macrophage	0.412
Control5	DUSP1	1876.74259592609	CD4.positive..alpha.beta.T.cell	0.324
Control5	RPS19	1859.55391204843	CD4.positive..alpha.beta.T.cell	0.375
Control5	HSP90AA1	1853.86035589742	macrophage	0.418
Control5	PFN1	1846.32215864318	CD8.positive..alpha.beta.T.cell	0.282
Control5	TPT1	1836.08177877798	macrophage	0.351
Control5	NEAT1	1815.48557347788	macrophage	0.445
Control5	RPL13A	1813.33652096699	CD4.positive..alpha.beta.T.cell	0.373
Control5	RPS18	1805.83439357643	CD4.positive..alpha.beta.T.cell	0.373
Control5	RPS27	1790.98804802396	CD4.positive..alpha.beta.T.cell	0.404
Control5	PTMA	1759.19630644498	CD4.positive..alpha.beta.T.cell	0.304
Control5	KLF6	1718.89365665494	CD4.positive..alpha.beta.T.cell	0.3
Control5	FTH1	1678.20579915591	macrophage	0.462
Control5	RPS14	1668.76404068682	CD4.positive..alpha.beta.T.cell	0.356
Control5	TMSB10	1666.47965113095	macrophage	0.392
Control5	RPLP1	1646.96803074102	CD4.positive..alpha.beta.T.cell	0.338
Control5	RPS6	1628.89546122079	CD4.positive..alpha.beta.T.cell	0.4
Control5	RPL21	1570.14070065112	CD4.positive..alpha.beta.T.cell	0.369
Control5	TSC22D3	1567.36555074549	CD4.positive..alpha.beta.T.cell	0.372
Control5	ARHGDIB	1545.27071828092	CD4.positive..alpha.beta.T.cell	0.283
Control5	RPL7	1544.02477190003	CD4.positive..alpha.beta.T.cell	0.385
Control5	RPL10	1522.30937944771	CD4.positive..alpha.beta.T.cell	0.342
Control5	RPL13	1519.83865366728	CD4.positive..alpha.beta.T.cell	0.377
Control5	CFL1	1493.60337949608	macrophage	0.312
Control5	CCL4	1491.20691017837	CD8.positive..alpha.beta.T.cell	0.376
Control5	RPL18A	1479.79469349504	CD4.positive..alpha.beta.T.cell	0.351
Control5	RPL23A	1463.86439395599	CD4.positive..alpha.beta.T.cell	0.388
Control5	RPS3A	1424.97986661056	CD4.positive..alpha.beta.T.cell	0.348
Control5	SRGN	1364.98289139915	macrophage	0.289
Control5	RPL3	1355.36668709645	CD4.positive..alpha.beta.T.cell	0.341
Control6	MALAT1	3574.16906934356	macrophage	0.289
Control6	B2M	3044.78945846877	macrophage	0.311
Control6	ACTB	2891.77810474674	macrophage	0.311
Control6	TMSB4X	2845.73188116789	macrophage	0.366
Control6	FTL	2563.64716110723	macrophage	0.507
Control6	FOS	2163.87304439737	macrophage	0.346
Control6	HLA-B	2115.59803452523	macrophage	0.363
Control6	EEF1A1	2060.30547694714	macrophage	0.289
Control6	IGF2R	2048.50921091113	macrophage	0.408
Control6	NFKBIA	1941.73692992063	macrophage	0.315
Control6	SAT1	1896.92717378029	macrophage	0.438
Control6	NEAT1	1876.45909091362	macrophage	0.46
Control6	HSP90AA1	1855.76894534937	macrophage	0.447
Control6	PFN1	1850.96565272658	CD8.positive..alpha.beta.T.cell	0.328
Control6	DUSP1	1818.89659353211	macrophage	0.284
Control6	TPT1	1816.4319769044	macrophage	0.379
Control6	RPS19	1775.14677534691	macrophage	0.295
Control6	RPL13A	1739.92688880161	CD8.positive..alpha.beta.T.cell	0.323
Control6	PTMA	1731.55795933296	macrophage	0.309
Control6	RPS18	1721.95400675439	CD4.positive..alpha.beta.T.cell	0.283
Control6	RPS27	1701.98168033552	CD8.positive..alpha.beta.T.cell	0.324
Control6	FTH1	1694.65748324855	macrophage	0.489
