gene	TSP14__capillary endothelial cell	TSP14__CD4-positive, alpha-beta T cell	TSP14__CD8-positive, alpha-beta T cell	TSP14__endothelial cell	TSP14__endothelial cell of artery	TSP14__fibroblast	TSP14__macrophage	TSP14__mast cell	TSP14__natural killer cell	TSP14__neutrophil	TSP14__pericyte	TSP14__smooth muscle cell	TSP14__vein endothelial cell
A1BG	0	10.8950494699739	0	0	0	1.24823601517428	0	0	26.5191431280154	0	0	0	0
A2M	1850.03678261516	196.973964180265	79.137841596139	1940.78273166915	1838.73480114093	187.111027619352	231.634814717528	88.2919930721493	0	0	1657.18833814266	1466.49342483202	1764.96972860726
A2M-AS1	6.55171803078067	0.11318246068187	0	22.9817708362113	12.13874136146	15.9979361239601	3.41682578097056	0	0	0	5.67183070911806	20.8054167546195	8.03229036039655
A2MP1	1.16946901554415	3.5376270515186	42.2280052516381	19.3024118852642	0	0	0	26.0152331408841	0	0	0.0648186619825752	0.0363415325466313	0
A4GALT	7.47612805236491	0	0	22.3496560611243	21.3257318321699	18.7764966418518	0	0	0	0	41.4594081153606	0	0
AAAS	96.8945379985981	0	0	54.9717870054067	7.47697570261521	76.9284445731134	82.6002833813042	0	0	0	51.3130310970641	113.087073258166	0
AACS	0	54.106659167551	0	0	0	28.8094260866713	0.256332718588797	206.437917742775	0	0	36.6393879097587	0	0
AADAT	0	0	0	0	0	21.0706617178486	0	0	0	0	27.3420323053801	0	0
AAGAB	9.91360332334533	46.9216834960016	226.374694582074	74.1772822662072	0	29.1875814742171	18.9151667677865	0	0	0	22.5388714257354	29.0787193059513	5.11272201487984
AAK1	286.681380704223	483.466130013944	263.870212192705	44.0240650959176	56.5030899409788	23.5611462025667	220.683230724521	17.4228793110698	522.167140863591	2719.4555357443	44.2087064380627	57.95792080581	0
AAMDC	121.412693919885	0	0	156.692882837295	124.407535990357	134.131248930264	0.143641089781848	0	0	0	119.997592281015	2.19466000818125	0
AAMP	188.147923690275	0	168.718500042548	129.318666118687	0	228.499526300064	29.2018744985111	0	0	0	307.205892149246	160.675056085957	0
AAR2	0	54.7007957524907	0	60.9954203211119	0	76.6566014326922	20.0038775797674	0	0	0	126.216050659341	59.1143609237138	0
AARS2	0	0.0981679400565058	0	0	0	11.2839379377135	93.9985705130612	2.67919695463004	0	0	13.3549202289429	0	0
AASDH	0	0	66.8958274279352	101.083293448279	0	35.8458119418108	61.5064487885948	0	0	0	39.6463054198641	84.6121048673132	0
AASDHPPT	147.749893969261	0	0	51.1610611993744	0	31.01632293732	1.88523959058716	0	0	0	46.7289761744055	53.573477082643	0
AASS	451.838369978231	0	0.088527044624338	179.720104117268	268.695624118956	121.776518333719	7.36953560635008	17.376610043229	0	0	141.738520891903	132.425087909765	269.224363661672
AATF	194.411955390262	2.00242654095988	0	64.9639375969352	0	63.7245300784118	108.836520158578	346.905823706827	410.956104369718	0	59.5665991018006	0	0
AATK	0	0	0.248515535900692	12.1162104192088	17.0754886707847	0.0630229826987951	0.0966717354874845	0	0	0	0	0	0.369542501601154
ABAT	0	0.72556369502203	0	0	0	18.3756621101036	2.44876485316242	0	0	0	0	0	0
ABCA1	635.00097843302	41.7571856876103	0	121.929618592965	4.67730218273379	316.639784101106	127.41782928818	733.963522815162	0	0	302.284356356217	99.1483364089764	324.179195608834
ABCA10	0	0	0	0.0374842724713991	0	159.635725659592	0	0.244699348319171	0	0	0.0184378403866658	0.0862755988587443	0
ABCA11P	70.5297426302211	0	0	0	0	5.00154430348547	0	0	0	0	7.58243106243399	0	0
ABCA12	0	0	0.124689926935944	0	0	0.03331663828749	0.0901027337332474	0	0	0	0	0	0
ABCA17P	0	1.00644129992798	0.13669418556085	0	0	8.24889588003613	0	0	0	0	0	0	0
ABCA2	0	85.1528101017769	83.38625385475	0	0	13.2455845315147	0.257272378155924	0	58.942120113603	0	0	16.0142242088613	0
