gene	capillary.endothelial.cell	CD4.positive..alpha.beta.T.cell	CD8.positive..alpha.beta.T.cell	endothelial.cell	endothelial.cell.of.artery	fibroblast	macrophage	mast.cell	natural.killer.cell	neutrophil	pericyte	smooth.muscle.cell	vein.endothelial.cell
A1BG	0	11.3213007093453	0	0	0	1.35866932798361	0	0	23.4188211996517	0	0	0	0
A2M	1847.71278221345	190.967453086839	72.346181510758	2119.83895156703	1844.34259236478	195.519429097193	276.371839064458	76.8096482676566	0	0	1727.23634296743	1505.14529698757	1786.35152166518
A2M-AS1	6.33207259700227	0.109216157449355	0	34.0735747424818	12.1435298725491	13.4009826319609	5.52442033414368	0	0	0	7.43538230910875	22.6664653757825	8.44823555884624
A2MP1	1.08742841162805	3.48214548344983	35.2143527302472	14.24418748519	0	0	0	23.504106342645	0	0	0.069919275397407	0.0265972798815472	0
A4GALT	7.67950554153361	0	0	23.6616195368801	23.5673598581369	17.5780162323508	0	0	0	0	43.6885754340482	0	0
AAAS	100.021731560314	0	0	52.2211980497533	7.34420411146542	74.7172609351678	66.4608904970762	0	0	0	47.648708270099	109.157390535718	0
AACS	0	47.4311902502884	0	0	0	26.5876178916996	0.401134672734262	233.574352079059	0	0	29.3508821123663	0	0
AADAT	0	0	0	0	0	24.9124148673085	0	0	0	0	26.6366345490764	0	0
AAGAB	9.2560463386288	47.564805756656	220.144801359471	65.6696913618891	0	23.9729216629945	17.007730438862	0	0	0	20.0477959486264	34.0986909552743	5.51628214975016
AAK1	291.90317653626	561.898917176605	263.010373074969	35.9714942869974	56.6483476109974	21.306579680485	206.92746077222	15.1480899175211	506.24157254787	3050.10429471715	40.9561145587668	61.8560433986218	0
AAMDC	122.202684461102	0	0	198.087862852986	118.416049579111	157.41461914411	0.122273679292366	0	0	0	115.668147999668	2.006646630013	0
AAMP	194.220247143874	0	164.35799681606	116.760227420692	0	221.882704311144	21.2569337766557	0	0	0	341.941698994552	140.888249754539	0
AAR2	0	42.4763189175666	0	50.983971016075	0	78.862507174954	15.1356674260106	0	0	0	112.375052334068	50.3493979878156	0
AARS2	0	0.103921728088761	0	0	0	9.95958134127848	74.3214464925769	2.32939203967847	0	0	12.4689448311443	0	0
AASDH	0	0	56.0369569323598	111.703866563069	0	32.7231374917644	51.3800485365235	0	0	0	36.9450199950818	78.7378563856341	0
AASDHPPT	137.384941697192	0	0	41.6559186958443	0	28.48869193836	2.21930583518211	0	0	0	46.7247138483879	47.6791147178022	0
AASS	463.183323440501	0	0.0741568850808703	139.906422658743	249.476602528692	119.284490278215	7.14741422407526	15.69932847109	0	0	140.684953673199	121.296406286624	250.871134760297
AATF	200.686445446925	2.78384974670339	0	52.4132581388093	0	67.4273675246471	133.84159663207	340.517390266836	466.875261204223	0	48.6713803331609	0	0
AATK	0	0	0.314796452910872	15.2768674685433	18.8703576235947	0.0595044253924664	0.0698329219871973	0	0	0	0	0	0.398711429884845
ABAT	0	0.823988365596619	0	0	0	16.5555593046185	1.85228430598941	0	0	0	0	0	0
ABCA1	638.639970805633	37.4902847807871	0	195.958520691319	4.59424549273108	298.000778142148	106.132855273135	694.421000049704	0	0	292.089180455804	77.9260412188016	308.156539632257
ABCA10	0	0	0	0.0398221989393191	0	172.165136323558	0	0.258952240389566	0	0	0.0185978781121025	0.0817692858513471	0
ABCA11P	71.8003439186909	0	0	0	0	3.94408847360892	0	0	0	0	6.75139737077697	0	0
ABCA12	0	0	0.117755370246488	0	0	0.0312345316395425	0.0738660145761496	0	0	0	0	0	0
ABCA17P	0	1.17543229169068	0.118129851863275	0	0	7.46182888138397	0	0	0	0	0	0	0
ABCA2	0	156.107022157085	79.7941819871241	0	0	12.8900971230104	0.195852908618338	0	52.051265963063	0	0	10.6471871020174	0
